Mail on Sunday (London),Sunday Business Post,The Herald (Ireland),The Irish Times,dail
,1.6333333333333333,1.2941176470588236,1.4210526315789473,1.5925925925925926
1.2790697674418605,2.066666666666667,1.2727272727272727,1.7818181818181817,1.4
1.4,,1.736842105263158,1.542857142857143,1.3636363636363635
1.35,1.5384615384615385,1.1818181818181819,1.2790697674418605,1.7777777777777777
1.5769230769230769,1.2553191489361701,,1.2037037037037037,2.625
2.0,1.4233576642335766,1.55,1.775,1.5714285714285714
,1.4102564102564104,1.4761904761904763,2.088235294117647,1.1666666666666667
,1.4190476190476191,1.1111111111111112,1.3936170212765957,
1.7142857142857142,1.4864864864864864,1.5714285714285714,1.5217391304347827,
,1.0666666666666667,1.3333333333333333,1.1379310344827587,
